Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Дзиндра;Аркадій;Олександрович;male;1963-05-17;Публіцист;селище Ірпінь;провулок Коцюбинського, буд. 3, Вознесенівка, 81631;242 96 73;ataran@example.com
Скоробогатько;Наталія;Анатоліївна;female;1988-10-14;Кінокритик;село Севастополь;провулок Хлібна гавань, буд. 860 кв. 302, Корсунь-Шевченківський, 28246;+380 82 402-25-35;habelkovolodymyra@example.com
Рябовіл;Демид;Дмитрович;male;2005-09-01;Клавішник;місто Бердянськ;проспект Пересипська 9-та, буд. 212 кв. 086, Кропивницький, 12986;473-92-60;kyryloshtokalo@example.net
Канівець;Емілія;Анатоліївна;female;1941-06-26;Живописець;хутір Конотоп;проспект Водопровідний 3-й, буд. 7, Радехів, 02610;+380 41 177 59 61;varfolomiitkach@example.org
Гаврюшенко;Ярина;Іллівна;female;1940-04-06;Провізор;селище Заводське;парк Олександра Тимошенка, буд. 1, Новий Розділ, 54767;622 49 78;zshvachka@example.com
Франчук;Святослав;Романович;male;1987-01-26;Бібліограф;хутір Роздільна;набережна Ашгабатська, буд. 0, Валки , 47074;+380 84 746-87-10;katamaniuk@example.net
Христенко;Пантелеймон;Вікторович;male;1984-07-20;Електротехнік;місто Херсон;вулиця Пересипська 4-та, буд. 1, Сновськ, 47454;930-50-21;snizhana65@example.org
Оберемко;Федір;Дмитрович;male;1996-12-17;Дерун;хутір Хмельницький;набережна Східний 1-й, буд. 4, Володимир-Волинський, 09490;876 30 15;ievtushenkomariana@example.net
Шутько;Єфрем;Андрійович;male;1983-04-20;Громадський діяч;селище Черкаси;вулиця Ткачова, буд. 168, Снятин, 54534;074 686 21 51;viraiashchuk@example.org
Свириденко;Алла;Степанівна;female;1968-11-10;Каскадер;селище Вовчанськ;набережна Рульовий, буд. 8 кв. 846, Одеса, 33068;+380 09 571 86 74;wzubko@example.com
Примаченко;Ігор;Богданович;male;1991-12-17;Композитор;місто Ржищів;набережна Виставочна, буд. 1, Путивль, 50799;+380 25 842-04-85;npetrenko@example.org
Бандера;Панас;Геннадійович;male;1989-12-04;Каскадер;село Сквира;вулиця Шампанський, буд. 1, Умань, 57238;+380 (19) 123-37-65;priskadzhun@example.org
Єременко;Марина;Юріївна;female;1979-11-24;Живописець;місто Кремінна;сквер Молодіжна, буд. 8, Нове Давидково, 87796;260-21-13;jvakulenko@example.net
Червоненко;Орхип;Вікторович;male;2005-11-24;Музичний редактор;хутір Угнів;шосе Восьмого березня, буд. 7 кв. 88, Снігурівка, 06900;+380 63 747-99-69;bohodar64@example.net
Ребрик;Амалія;Миколаївна;female;1983-09-25;Дантист;селище Білогірськ;набережна Лінія 25-та, буд. 04 кв. 5, Трускавець, 38130;+380 83 685 16 18;dmytro06@example.com
Засядько;Маруся;Максимівна;female;1980-05-23;Публіцист;селище Буринь;парк Нежданової, буд. 60, Святогірськ, 15699;080 271 62 90;haievskyiparmen@example.com
Алексюк;Вікторія;Юріївна;female;1985-10-28;Архітектор;селище Славутич;проспект Астрономічна, буд. 232 кв. 4, Шахтарськ, 53012;525 11 86;pumanets@example.org
Шаблій;Гордій;Миколайович;male;2001-01-18;Ветеринар;село Шаргород;сквер Каретний, буд. 89, Оріхів, 08976;973-15-39;jlytvyn@example.org
Пелех;Пармен;Володимирович;male;1966-11-07;Музикант;місто Южне;проспект Бокаріуса Миколи, буд. 981 кв. 89, Виноградів, 24319;013 50 78;zshcherban@example.net
Штокало;Антон;Максимович;male;1984-11-11;М'ясник;хутір Кагарлик;сквер Семафорний, буд. 985 кв. 797, Сватове, 49619;+380 84 315-40-77;mdevdiuk@example.net
Журба;Ірина;Вікторівна;female;1971-10-21;Електромонтер;село Кам'янка-Дніпровська;узвіз Наклонна, буд. 06 кв. 5, Мерефа, 46519;099 757-55-04;svitlanaolifirenko@example.org
Влох;Леопольд;Юрійович;male;1991-07-23;Хімік;селище Скадовськ;проспект Ванний, буд. 063, Іршава, 76330;+380 30 366 80 06;fkhrystych@example.com
Гаєвська;Галина;Богданівна;female;1955-04-04;Каскадер;село Шпола;парк Іванова 1-й, буд. 8 кв. 8, Новоукраїнка, 72519;034 924 45 14;cvyshniak@example.org
Ємець;Владислав;Васильович;male;1983-08-14;Будник;селище Березне;площа Лінія 39-та, буд. 280 кв. 7, Українка , 70968;+380 43 685-41-78;rtychyna@example.org
Єрьоменко;Богдан;Богданович;male;1946-10-20;Економіст;селище Сєвєродонецьк;проспект Джерельна, буд. 46 кв. 0, Кілія, 47579;580 34 93;mhaidai@example.net
Кибкало;Климент;Олександрович;male;1979-11-11;Мінералог;місто Полонне;сквер Грузинська, буд. 04, Комарно, 90535;+380 (63) 230-67-72;oryna17@example.com
Артимишин;Мілена;Вікторівна;female;1969-02-28;Футболіст;місто Світловодськ;вулиця Тираспольська, буд. 949 кв. 16, Севастополь, 54314;+380 61 126 01 03;truban@example.org
Гуцуляк;Остап;Анатолійович;male;1942-07-30;Стропальник;хутір Ланівці;сквер Короленка, буд. 5 кв. 322, Олешки, 39143;+380 70 443-40-38;arsen77@example.com
Радченко;Ганна;Романівна;female;1979-01-11;Стоматолог;хутір Перещепине;шосе Чорноморський 7-й, буд. 312 кв. 880, Іллінці, 68884;063 575-78-44;iakovenkotrokhym@example.com
Чаленко;Аніта;Дмитрівна;female;1950-09-28;Доцент;місто Чорнобиль;шосе Західний 3-й, буд. 7, Зимогір'я, 78983;038 619 91 84;ustymhohol-ianovska@example.com
Оліфіренко;Устим;Сергійович;male;1981-01-17;Музичний редактор;село Вараш;парк 8-ма Суворовська, буд. 574, Перевальськ, 30450;066 557 97 77;teodor57@example.org
Москаль;Ольга;Степанівна;female;1991-02-22;Бібліотекар;місто Дніпро ;провулок Композитора Глинки, буд. 418 кв. 2, Славута, 34981;+380 (65) 038-81-69;leonidchmil@example.com
Тягнибок;Святослава;Іванівна;female;1973-06-28;Дипломат;місто Гадяч;парк Український 3-й, буд. 742 кв. 38, Суми, 53015;229-34-83;edytatiahnybok@example.com
Данчук;Тарас;Степанович;male;2002-03-22;Промисловець;хутір Антрацит ;парк Велика Арнаутська, буд. 91, Буча, 69789;+380 64 586 72 72;stepanderiazhna@example.com
Парасюк;Онисим;Геннадійович;male;1944-08-30;Скульптор;селище Білогірськ;парк Романа Кармена, буд. 5, Євпаторія, 96680;077 854 59 00;ufilipenko@example.net
Салій;Лариса;Василівна;female;1939-04-09;Музикознавець;місто Херсон;сквер Палубна, буд. 719 кв. 4, Новгород-Сіверський, 41965;+380 88 935-64-81;vfomenko@example.net
Андрієвич;Одарка;Володимирівна;female;1963-05-30;Будник;хутір Бориспіль;шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 204, Копичинці, 59932;+380 (09) 763-77-69;zakhar92@example.org
Дейнеко;Ярема;Юрійович;male;1967-11-02;Промисловець;місто Дубровиця;узвіз Воронезька, буд. 11 кв. 950, Бахчисарай, 73885;001 197-87-23;leonidvasylechko@example.net
Яремків;Лесь;Дмитрович;male;1948-02-18;Гінеколог;хутір Первомайськ;сквер Естафетна, буд. 4 кв. 87, Голубівка, 32828;133 62 09;khudiakvasyl@example.com
Шеремета;Едуард;Геннадійович;male;1979-12-21;Електротехнік;місто Шепетівка;проспект Хімічний 3-й, буд. 5, Баштанка, 83737;+380 72 776-86-99;okseniia64@example.net
Бандура;Богуслава;Андріївна;female;1958-03-05;Гірник;село Вараш;сквер Леонтовича, буд. 6, Олександрія, 58729;050 155-37-79;bohuslav65@example.org
Зайченко;Остап;Миколайович;male;1989-02-14;Паралегал;село Житомир;провулок Бодаревського, буд. 761 кв. 2, Кагарлик, 19565;087 137 87 41;vyshniakirena@example.com
Теліженко;Богодар;Миколайович;male;1961-11-24;Ді-джей;хутір Довжанськ;узвіз Сміливий, буд. 52, Шахтарськ, 55199;+380 70 815-85-71;danna14@example.net
Швайка;Вʼячеслав;Сергійович;male;1993-07-21;Ботанік;село Мостиська;сквер Восьмого березня 4-й, буд. 2 кв. 843, Ірпінь, 23323;056 170-28-00;sbazylevskyi@example.org
Дрозденко;Семен;Петрович;male;1985-10-03;Зоолог;селище Арциз;проспект Дорожня, буд. 1 кв. 616, Зіньків, 49158;065 076-83-09;klavdiia03@example.com
Алексеєнко;Ярослав;Дмитрович;male;1945-12-04;Модельєр;місто Донецьк;провулок 13-та ст. Великого Фонтану пляж, буд. 01, Підгородне, 49496;483-48-34;xtalan@example.net
Таран;Анастасія;Василівна;female;1996-04-16;Ґрунтознавець;місто Дрогобич;парк Чернишевського, буд. 779 кв. 546, Рава-Руська, 23402;+380 16 786-53-38;emiliiatsybulenko@example.net
Рябошапка;Аліна;Петрівна;female;1957-09-15;Будник;село Глухів;набережна Світла, буд. 0, Федорівка, 93825;877-58-42;sirkodan@example.net
Височан;Одарка;Іванівна;female;1959-09-04;Промисловець;місто Коломия;площа Шептицікого, буд. 8 кв. 511, Вижниця, 84398;016 853-91-73;anzhelakomar@example.org
Щириця;Валентина;Олегівна;female;1980-05-07;Психолог;хутір Українськ;узвіз Керченський 3-й, буд. 7 кв. 16, Суми, 29525;+380 68 146-54-18;anton52@example.org
Твердохліб;Розалія;Дмитрівна;female;1953-06-20;Літературознавець;хутір Приморськ (Україна);провулок Зарічна, буд. 56 кв. 99, Нова Каховка, 96589;104-96-52;iaroslava80@example.com
Щириця;Ігнат;Євгенович;male;1953-06-28;Фізик;селище Красноград;сквер Аптекарський, буд. 104 кв. 54, Каховка, 41014;153-60-53;aronetsalevtyn@example.com
Онуфрієнко;Гліб;Олегович;male;1972-09-03;Астрофізик;село Кам'янка (Черкаська область);проспект Смоленська, буд. 69, Дрогобич, 88563;+380 39 722 92 91;mykytakozachenko@example.com
Терещенко;Людмила;Андріївна;female;1980-03-18;Слідчий;селище Дружба ;площа Пейзажна, буд. 845, Вараш, 18908;+380 59 288 22 04;albert50@example.org
Тягнибок;Венедикт;Вікторович;male;1951-08-24;Палеонтолог;місто Андрушівка;провулок Чубаївський, буд. 82 кв. 0, Олешки, 32423;030 274 61 24;volodymyrbabych@example.com
Лаба;Максим;Анатолійович;male;1941-12-14;Локсмайстер;хутір Тячів;шосе Кренкеля, буд. 512 кв. 3, Очаків, 65798;057 737 71 60;iolifirenko@example.org
Бабак;Аніта;Богданівна;female;1964-05-26;Мистецтвознавець;місто Рубіжне;узвіз Платанова, буд. 7 кв. 278, Глиняни, 06680;043 554 12 50;andrii54@example.com
Лисенко;Тереза;Анатоліївна;female;1945-12-18;Епідеміолог;селище Яремче;шосе 9-та Суворовська, буд. 924, Сорокине, 55810;+380 31 387-50-33;satsiukaaron@example.net
Носаченко;Омелян;Богданович;male;1968-07-28;Художник;хутір Дубно;проспект Єлисаветградський, буд. 4, Бахчисарай, 92757;+380 03 508-76-47;liliia07@example.com
Орлик;Аліна;Максимівна;female;1973-11-25;Співак;селище Красногорівка;проспект Чорноморський 10-й, буд. 87 кв. 388, Сквира, 20619;019 945 24 15;avhustyn07@example.org
Семенченко;Мілена;Геннадіївна;female;1956-09-11;Музикант;селище Ворожба;парк Михайлівська, буд. 889 кв. 104, Армянськ, 60723;+380 18 487-97-48;heorhii05@example.net
Артимович;Веніямин;Ілліч;male;1963-01-05;Продюсер;село Українка ;вулиця Траса Здоров'я, буд. 229, Приморськ (Україна), 39918;017 104-31-35;rozaliiamatiash@example.com
Шовкопляс;Мілена;Олегівна;female;1998-09-21;Складальник;місто Хуст;провулок Лінія 32-га, буд. 8 кв. 527, Дружба , 44665;+380 49 254-53-82;jkabaliuk@example.com
Атрощенко;Охрім;Миколайович;male;2006-03-11;Клоун;селище Середина-Буда;провулок Коцебу міст, буд. 7, Новомосковськ, 06183;+380 33 310-84-27;rbabko@example.com
Сіробаба;Єлисей;Володимирович;male;1960-02-28;Філолог;селище Соснівка ;площа Грецька, буд. 770, Любомль, 25876;007 419-36-27;lmakohon@example.org
Цимбал;Ганна;Вікторівна;female;1951-08-23;Журналіст;село Старий Самбір;вулиця Аеропортівський 1-й, буд. 6, Ладижин, 03139;360-68-30;ustymsyrotenko@example.com
Макаренко;Павло;Вікторович;male;1951-11-21;Геолог;село Кагарлик;набережна Західний 3-й, буд. 662, Червоносів, 96953;040 094 28 33;zatovkaniukboryslav@example.org
Хомик;Роман;Богданович;male;1964-08-09;Єгер;хутір Білицьке;шосе Куликове поле, буд. 8 кв. 0, Шумськ, 67405;148 68 31;dzyndranestor@example.com
Батіг;Борис;Богданович;male;2005-12-11;Державний службовець;селище Ічня;набережна Степана Разіна, буд. 525, Тернопіль, 83923;+380 81 634-02-16;iaroslav48@example.org
Цимбал;Омелян;Іванович;male;1947-08-14;Краєзнавець;місто Молочанськ;парк Ромашкова, буд. 874, Помічна, 17232;010 169 36 03;ivernydub@example.com
Джус;Гордій;Геннадійович;male;1945-01-20;Фотограф;місто Прип'ять ;парк 5-та Лінія Марії Демченко, буд. 4 кв. 295, Ананьїв, 58620;318-75-90;mhavryliuk@example.org
Павлик;Ігор;Євгенович;male;1969-02-05;Патологоанатом;селище Тернівка ;проспект Олександра Невського 2-й, буд. 527 кв. 016, Кремінна, 55655;071 005 90 67;avhustyn95@example.net
Бевзенко;Артем;Богданович;male;1982-09-23;Редактор;місто Барвінкове;узвіз Марсельська, буд. 014, П'ятихатки, 99476;+380 32 510 24 25;martyn36@example.org
Заруба;Клавдія;Сергіївна;female;1978-12-26;Психолог;місто Бобринець;площа Дача Ковалевського, буд. 71, Харків, 53293;+380 41 460 55 29;baklanveniiamyn@example.com
Мамчур;Климент;Петрович;male;1965-08-11;Архітектор;село Надвірна;шосе Лиманчик 2-й Лінія 9-та, буд. 00, Марганець , 98729;004 718 89 89;orysia00@example.org
Іваненко;Валентина;Романівна;female;1952-12-27;Музикознавець;село Татарбунари;вулиця Аркаса Миколи, буд. 354, Кагарлик, 15461;+380 16 420 15 94;myron31@example.net
Скирда;Зорян;Степанович;male;2005-09-25;Стоматолог;місто Біла Церква;набережна Середня, буд. 897, Ірміно, 31796;+380 40 309-18-57;orkhypgzhytska@example.org
Вітрук;Златослава;Петрівна;female;1986-01-26;Мистецтвознавець;село Мала Виска;сквер Марії Демченко, буд. 3, Підгородне, 46319;052 858 15 63;qoliinyk@example.com
Девдюк;Віктор;Сергійович;male;1993-06-04;Педагог;місто Рава-Руська;набережна Сосюри, буд. 4, Остер , 75560;390 60 16;leontii83@example.com
Гавришкевич;Марина;Геннадіївна;female;1973-01-11;Ґрунтознавець;селище Фастів;шосе Естафетна, буд. 7 кв. 36, Хрестівка, 95596;+380 (66) 633-88-43;khoma20@example.com
Конопленко;Борислав;Миколайович;male;1969-06-13;Диригент;хутір Ужгород;проспект Отрадна, буд. 69, Дебальцеве, 76183;+380 98 984-11-69;martapiatachenko@example.com
Архипенко;Оксана;Миколаївна;female;1960-12-22;Електромонтажник;хутір Горішні Плавні;вулиця Травневий 4-й, буд. 927, Білопілля, 88486;+380 24 042 69 74;bohuslav63@example.org
Шамрай;Остап;Дмитрович;male;2008-08-18;Будник;село Чугуїв;набережна Розкидайлівська, буд. 683 кв. 44, Житомир, 58943;+380 45 167-44-53;pavlykiaryna@example.com
Тимченко;Богданна;Олегівна;female;1987-12-16;Паблік рилейшнз;село Вільнянськ;набережна Більшовицький, буд. 934 кв. 487, Лутугине, 53137;598 93 52;kadeniukielysei@example.com
Карпенко;Сніжана;Андріївна;female;2004-04-06;Каскадер;селище Джанкой;набережна Травневий 3-й, буд. 40, Тальне, 60078;+380 22 312-29-13;rostyslav89@example.net
Товстоліс;Марʼяна;Петрівна;female;1983-10-07;Бібліограф;місто Дніпро ;площа Рельєфна, буд. 10 кв. 37, Стебник, 88402;254-51-50;okhrim57@example.org
Швачка;Валентин;Іванович;male;1971-10-03;Музикознавець;хутір Немирів;узвіз Трамвайна, буд. 287, Монастириська, 91441;+380 58 192 62 08;viktor15@example.org
Євтушенко;Арсен;Іванович;male;2005-05-30;Археолог;місто Хотин;узвіз Металістів, буд. 92 кв. 1, Торецьк, 60044;013 092 98 73;hieresko@example.org
Юрчишин;Валентина;Петрівна;female;1992-07-24;Фермер;хутір Перечин;узвіз Регенсбург, буд. 6 кв. 90, Новоселиця, 06505;050 084-84-60;iaryna02@example.net
Таран;Захар;Сергійович;male;1951-02-03;Сантехнік;селище Вилкове;провулок Дачний 1-й, буд. 18 кв. 4, Дунаївці, 48624;272 75 50;anton89@example.org
Деркач;Павло;Петрович;male;1950-07-19;Нотаріус;селище Жовква;набережна Митна, буд. 63 кв. 6, Харків, 39798;+380 82 452-07-37;iaroslavaarkhypenko@example.net
Пушкар;Ада;Романівна;female;1948-02-15;Швачка;хутір Покров;вулиця Студентський, буд. 21 кв. 416, Харцизьк, 90048;+380 89 593-34-08;stanislav11@example.net
Кармалюк;Мілена;Максимівна;female;1984-12-04;Водій;селище Корюківка;шосе Маріїнська, буд. 148 кв. 806, Городище , 17546;+380 92 073-29-22;demydenkoiosyp@example.org
Швайка;Федір;Богданович;male;1985-08-25;Музикант;місто Вінниця;вулиця Кордонна, буд. 563, Українськ, 27933;007 254 89 63;ustymchekaliuk@example.com
Доценко;Костянтин;Романович;male;1989-11-24;Няня;хутір Родинське;узвіз Килимовий, буд. 19, Лебедин, 87724;298-09-90;albina39@example.org
Єрьоменко;Іван;Степанович;male;1952-07-09;Стропальник;селище Апостолове;шосе Житомирська, буд. 3, Новгород-Сіверський, 18171;+380 60 953-76-21;zmykhaliuk@example.net
Сагаль;Марія;Олегівна;female;2003-11-11;Графік;село Міусинськ;вулиця Лізи Чайкіної, буд. 050 кв. 371, Сніжне, 16179;+380 84 045-88-44;oksanahrechko@example.org
Сиротенко;Юстим;Володимирович;male;1959-10-16;М'ясник;місто Батурин;парк Могилівська, буд. 82 кв. 2, Саки , 94866;824 31 26;bnesterenko@example.net
Іщенко;Алла;Юріївна;female;1965-07-25;Художник;селище Снятин;сквер Деволанівська, буд. 5, Феодосія, 13797;928 70 67;volodymyrsheremet@example.org
Щириця;Стефан;Андрійович;male;1952-08-12;Кухар;хутір Чернігів;вулиця Думська, буд. 64, Великі Мости, 26688;+380 17 117-03-18;eduardtverdokhlib@example.org
Андрусенко;Анастасія;Іллівна;female;1984-11-06;Співак;хутір Сокиряни;сквер Академіка Векслера, буд. 21, Севастополь, 49925;+380 70 162 94 03;valentynazabara@example.com
Влох;Олена;Олександрівна;female;1975-04-25;Гінеколог;село Берегове;проспект Тролейбусна, буд. 7, Чоп, 94890;+380 40 905 79 77;artymviktor@example.org
Чайка;Єва;Геннадіївна;female;1942-01-24;Локсмайстер;місто Перевальськ;площа Ушакова, буд. 797 кв. 682, Хорол , 25765;038 64 75;diaremchuk@example.org
Якимчук;Емілія;Євгенівна;female;1999-05-02;Паблік рилейшнз;село Первомайський ;набережна Косий, буд. 6 кв. 7, Вінниця, 75774;+380 (51) 834-28-26;myron93@example.com
Бабʼюк;Анастасія;Степанівна;female;1943-10-20;Правник;хутір Чортків;вулиця Воронезька, буд. 500, Горлівка, 55277;+380 58 311-93-98;feofaniakymenko@example.org
Демиденко;Олександр;Ілліч;male;1976-11-15;Геофізик;місто Славутич;шосе Савранська, буд. 343, Вугледар, 54654;046 675 61 90;poltavetsdavyd@example.net
Гунько;Амвросій;Васильович;male;1999-02-08;Палеонтолог;селище Прилуки;вулиця Садова 2-га, буд. 153 кв. 9, Луцьк, 49133;+380 (02) 751-58-38;alevtyn04@example.com
Балабан;Герман;Олегович;male;1952-08-19;Науковець;селище Червоносів;парк Ялинковий, буд. 94, Бурштин , 87681;+380 86 327-73-05;vadym74@example.net
Штепа;Богданна;Степанівна;female;1989-04-11;Етнограф;селище Новоукраїнка;провулок Тепла, буд. 63 кв. 66, Пирятин, 61709;+380 94 807-06-74;fedir88@example.net
Деркач;Миколай;Богданович;male;1993-03-11;Бухгалтер;місто Перечин;площа Перемоги, буд. 2, Кіцмань, 68738;+380 02 384-70-68;orestandriievych@example.com
Гриценко;Анастасія;Миколаївна;female;1955-02-10;Електромонтажник;село Кам'янка-Дніпровська;проспект Глиняна, буд. 2 кв. 9, Кобеляки, 07076;658 42 08;heorhii78@example.com
Романчук;Пилип;Євгенович;male;1983-10-27;Живописець;селище Іловайськ;набережна Олександра Вронського, буд. 1 кв. 468, Ананьїв, 96073;+380 (56) 523-88-57;mykhailofilipenko@example.org
Забара;Роксолана;Сергіївна;female;2007-06-29;Модельєр;місто Ананьїв;узвіз Змієнка Всеволода, буд. 59 кв. 39, Ізюм, 11192;+380 (40) 680-35-34;miakovenko@example.com
Петренко;Петро;Васильович;male;1967-12-12;Скульптор;село Немирів;проспект 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 0 кв. 80, Володимир-Волинський, 61242;084 633 91 52;snizhana56@example.org
Скоробогатько;Аарон;Геннадійович;male;1956-07-10;Скульптор;село Новодністровськ;площа Хвойний, буд. 231, Боярка, 14186;+380 (63) 703-93-16;edytavanchenko@example.org
Скирда;Симон;Сергійович;male;1981-05-26;Намотувальник;село Білицьке;парк Змієнка Всеволода, буд. 3 кв. 58, Ніжин, 97753;040 982 50 97;tshevchenko@example.com
Баклан;Хома;Олегович;male;1993-10-26;Патологоанатом;селище Івано-Франківськ;парк Поштовий, буд. 253, Острог, 95611;098 359-10-25;hdziuba@example.com
Дурдинець;Ярема;Олегович;male;1977-07-25;Доцент;селище Харцизьк;проспект Приморський, буд. 4, Пологи , 69670;349 06 12;pavlogerega@example.com
Бабко;Юхим;Максимович;male;2004-09-13;Водій;селище Фастів;сквер Велика Садова, буд. 139 кв. 735, Зборів, 47359;+380 39 635-73-13;trokhymfastenko@example.com
Тимчук;Ігнат;Юрійович;male;1980-02-08;Стоматолог;місто Мирноград;провулок Курська, буд. 42, Глиняни, 69866;014 95 53;nataliia04@example.net
Бабій;Ада;Сергіївна;female;2005-07-28;Доцент;селище Ясинувата;провулок Спортивна, буд. 97 кв. 2, Гірське, 83932;+380 90 043-49-51;girvanets@example.org
Влох;Роксолана;Дмитрівна;female;1940-05-30;Каскадер;хутір Чернівці;шосе Кордонна, буд. 19, Бердянськ, 20719;+380 29 304-72-57;solomiiaavramenko@example.net
Заїка;Кирило;Анатолійович;male;2005-01-11;Промисловець;місто Теребовля;провулок Тимірязєва, буд. 248, Пустомити, 25516;240 84 06;mamchuranzhela@example.net
Ажажа;Демид;Богданович;male;1956-01-07;Менеджер;село Андрушівка;парк Удільний, буд. 383 кв. 01, Нікополь, 79597;709 78 47;stepantelizhenko@example.org
Твердохліб;Олесь;Олегович;male;1968-02-25;Паблік рилейшнз;селище Корсунь-Шевченківський;набережна Молодіжна, буд. 57, Золочів, 26905;023 728-84-88;pustovithryhorii@example.com
Козак;Станіслав;Ілліч;male;2000-02-29;Гінеколог;хутір Долина ;проспект Дворянська, буд. 73 кв. 1, Селидове, 74834;+380 52 916 61 79;prokhiraleksiichuk@example.org
Ейбоженко;Костянтин;Євгенович;male;1948-08-06;Художник;хутір Новодністровськ;площа 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 2 кв. 91, Олександрівськ, 63286;271 34 45;kovaliuknazar@example.net
Овчаренко;Альберт;Андрійович;male;1964-09-12;Кіноактор;хутір Корсунь-Шевченківський;вулиця Амбулаторний, буд. 192 кв. 4, Ужгород, 05921;787-58-81;sviatoslava13@example.org
Ірванець;Арсен;Петрович;male;1958-11-05;Футболіст;місто Оріхів;шосе Флотський 4-й, буд. 76 кв. 698, Донецьк, 17701;194 86 32;sliusaramaliia@example.com
Вишняк;Тереза;Сергіївна;female;1966-10-22;Нотаріус;хутір Новодружеськ;провулок Єлисаветградський, буд. 350 кв. 02, Слов'янськ, 85262;+380 05 411 45 39;mazurillia@example.com
Шеремет;Орися;Романівна;female;1951-05-16;Хореограф;село Кременець;шосе Новикова, буд. 10, Самбір, 62662;+380 (18) 073-15-40;zkorzh@example.org
Яремко;Соломон;Володимирович;male;1941-03-20;Математик;селище Тараща;провулок Топольського, буд. 71 кв. 564, Бахмут, 66861;262 06 05;syrotenkoomelian@example.com
Ісаєнко;Альберт;Дмитрович;male;1946-04-16;Скульптор;місто Білозерське;вулиця 11-та Суворовська, буд. 6 кв. 8, Харцизьк, 74621;+380 (63) 724-52-77;iosyp14@example.com
Лагода;Пантелеймон;Васильович;male;1954-05-07;Парфюмер;село Яворів;вулиця Морехідна, буд. 5 кв. 299, Березань , 74329;012 641-64-68;dkhorishko@example.com
Стельмах;Алевтин;Петрович;male;1962-08-01;Флорист;хутір Макіївка;набережна Розкидайлівська, буд. 32 кв. 424, Богуслав, 51466;741-24-43;danylovdovenko@example.com
Нестайко;Алевтин;Олександрович;male;1950-02-26;Мікробіолог;село Кам'янка-Бузька;вулиця Іванова, буд. 93 кв. 1, Чортків, 39038;+380 82 342-05-35;mykhailyna70@example.com
Товстуха;Андрій;Євгенович;male;1970-09-19;Євнух;хутір Виноградів;шосе Хаджибейський 2-й, буд. 45, Васильків, 91211;526 75 64;ivanvashchenko@example.org
Романець;Еріка;Степанівна;female;1999-01-24;Ювелір;село Угнів;проспект Давида Ойстраха, буд. 24 кв. 0, Ясинувата, 10136;+380 54 026-89-09;landriishyn@example.com
Христенко;Анастасія;Петрівна;female;1991-06-13;Гірник;місто Житомир;шосе Троїцька, буд. 87 кв. 852, Новогродівка, 77189;059 430-10-44;kolesnychenkooksana@example.com
Якименко;Данило;Сергійович;male;1980-10-05;Піаніст;місто Зміїв;набережна Старосінна, буд. 4, Великі Мости, 31593;059 766 21 49;valerii60@example.net
Христич;Захар;Андрійович;male;1998-12-14;Астрофізик;хутір Монастирище;парк Чапаєва, буд. 30 кв. 02, Бердянськ, 25465;+380 42 701 83 86;rostyslav33@example.com
Гайда;Костянтин;Дмитрович;male;1945-05-22;Машиніст;хутір Могилів-Подільський;площа Ключовий 1-й, буд. 45 кв. 89, Кипуче, 80448;005 272-25-61;andriienkoiarema@example.com
Голобородько;Макар;Сергійович;male;1967-11-04;Штукатур;село Прип'ять ;провулок Донцова Дмитра, буд. 8 кв. 96, Жидачів, 96638;820-90-30;tarastkach@example.com
Штепа;Леон;Сергійович;male;1945-04-11;Математик;селище Хмільник;проспект Кустанайський 2-й, буд. 06, Перещепине, 20584;+380 98 781-91-16;kolodubbohuslava@example.org
Макаренко;Софія;Степанівна;female;1968-11-06;Медик;місто Теплодар;узвіз Гоголя, буд. 0 кв. 0, Бердянськ, 11643;+380 71 004-19-79;khrystynavatamaniuk@example.net
Корж;Ярослава;Юріївна;female;2006-06-14;Реабілітолог;хутір Сміла;площа Академіка Вільямса, буд. 97, Білгород-Дністровський, 82326;+380 47 049 31 56;iereskodanylo@example.org
Зінченко;Орина;Богданівна;female;1979-02-02;Дизайнер;місто Антрацит ;площа Зоряна, буд. 68, Зугрес, 58548;+380 18 802 36 04;cvashchuk@example.org
Носаченко;Гліб;Юрійович;male;1961-10-17;Петрограф;місто Павлоград;проспект Трудовий, буд. 355, Глухів, 60709;+380 45 732-19-52;lsimashkevych@example.org
Павличенко;Стефан;Петрович;male;2005-11-07;Скульптор;селище Трускавець;площа Восьмого березня 4-й, буд. 94, Умань, 34635;050 198-03-72;shakhraidavyd@example.org
Ємельяненко;Пріска;Анатоліївна;female;1975-08-23;Музичний редактор;селище Бурштин ;вулиця Бучми, буд. 40, Щолкіне, 08028;+380 34 268-14-22;mkhrystych@example.net
Христенко;Пармен;Сергійович;male;1948-06-26;Фізик;селище Перечин;площа Штурвальна, буд. 134 кв. 192, Кременець, 92690;+380 32 229-41-93;erikaskorobohatko@example.org
Рудько;Кирило;Миколайович;male;1997-02-11;Ґрунтознавець;село Іловайськ;проспект Бугаївська, буд. 6 кв. 60, Торецьк, 05317;+380 63 202-81-93;drobiazkosolomon@example.org
